imgnames,X,Y,R,G,B,H1,S1,V1,L1,A1,B1
potato_tanashi_8FUKANO_20170514_InsRGB_15m_transparent_mosaic_group1_1.jpg,1164,676,0.529411764705882,0.662745098039216,0.36078431372549,0.24025974025974,0.455621301775148,0.662745098039216,65.3427022965403,-21.9811679146504,35.5630242184945
potato_tanashi_8FUKANO_20170514_InsRGB_15m_transparent_mosaic_group1_1.jpg,1566,612,0.568627450980392,0.698039215686274,0.427450980392157,0.246376811594203,0.387640449438202,0.698039215686274,68.8543126443626,-20.7222527116915,31.4228587924516
potato_tanashi_8FUKANO_20170514_InsRGB_15m_transparent_mosaic_group1_1.jpg,1255,955,0.533333333333333,0.674509803921569,0.423529411764706,0.260416666666667,0.372093023255814,0.674509803921569,66.4900943229521,-21.4420026274411,28.7839443269833
potato_tanashi_8FUKANO_20170524_InsRGB_15m_transparent_mosaic_group1_1.jpg,447,197,0.635294117647059,0.764705882352941,0.407843137254902,0.227106227106227,0.466666666666667,0.764705882352941,74.8245607305126,-22.4861111609775,41.5939137983031
potato_tanashi_8FUKANO_20170524_InsRGB_15m_transparent_mosaic_group1_1.jpg,457,447,0.584313725490196,0.713725490196078,0.364705882352941,0.228464419475655,0.489010989010989,0.713725490196078,70.0950258854486,-22.4545386002993,41.042085704559
potato_tanashi_8FUKANO_20170524_InsRGB_15m_transparent_mosaic_group1_1.jpg,798,163,0.654901960784314,0.764705882352941,0.435294117647059,0.222222222222222,0.430769230769231,0.764705882352941,75.2535770642411,-19.9779035382514,38.7780065549432
potato_tanashi_8FUKANO_20170524_InsRGB_15m_transparent_mosaic_group1_1.jpg,622,953,0.752941176470588,0.866666666666667,0.537254901960784,0.224206349206349,0.380090497737557,0.866666666666667,84.5241232936638,-20.1009315592959,37.8929541946731
potato_tanashi_8FUKANO_20170524_InsRGB_15m_transparent_mosaic_group1_1.jpg,640,1241,0.623529411764706,0.764705882352941,0.411764705882353,0.233333333333333,0.461538461538462,0.764705882352941,74.6299175442214,-23.5506113648292,40.8154865581808
potato_tanashi_8FUKANO_20170531_Ins1RGB_15m_transparent_mosaic_group1_1.jpg,630,605,0.427450980392157,0.607843137254902,0.356862745098039,0.286458333333333,0.412903225806452,0.607843137254902,59.4650070547367,-25.4585487562589,28.3614694121074
potato_tanashi_8FUKANO_20170531_Ins1RGB_15m_transparent_mosaic_group1_1.jpg,591,397,0.349019607843137,0.529411764705882,0.247058823529412,0.273148148148148,0.533333333333333,0.529411764705882,51.7149668295906,-26.6029193141589,33.0832046048156
potato_tanashi_8FUKANO_20170531_Ins1RGB_15m_transparent_mosaic_group1_1.jpg,553,122,0.470588235294118,0.647058823529412,0.384313725490196,0.278606965174129,0.406060606060606,0.647058823529412,63.2536469108459,-25.2224320734076,29.6406954261627
potato_tanashi_8FUKANO_20170531_Ins1RGB_15m_transparent_mosaic_group1_1.jpg,702,825,0.388235294117647,0.564705882352941,0.301960784313725,0.278606965174129,0.465277777777778,0.564705882352941,55.2976855334997,-25.6080756789463,30.3582592849299
potato_tanashi_8FUKANO_20170531_Ins1RGB_15m_transparent_mosaic_group1_1.jpg,674,850,0.494117647058824,0.63921568627451,0.466666666666667,0.306818181818182,0.269938650306748,0.63921568627451,63.3558118376088,-19.6732527743507,18.6512924470887
potato_tanashi_8FUKANO_20170531_Ins1RGB_15m_transparent_mosaic_group1_1.jpg,1071,996,0.447058823529412,0.619607843137255,0.317647058823529,0.261904761904762,0.487341772151899,0.619607843137255,60.5631889525147,-25.95233866964,34.9505575405525
potato_tanashi_8FUKANO_20170531_Ins1RGB_15m_transparent_mosaic_group1_1.jpg,1060,1019,0.505882352941176,0.666666666666667,0.431372549019608,0.280555555555556,0.352941176470588,0.666666666666667,65.4726211271548,-22.9049587406024,26.3166206696002
potato_tanashi_8FUKANO_20170531_Ins1RGB_15m_transparent_mosaic_group1_1.jpg,1120,1212,0.498039215686275,0.666666666666667,0.396078431372549,0.270531400966184,0.405882352941176,0.666666666666667,65.2218348253445,-24.605323079183,30.674576929047
potato_tanashi_8FUKANO_20170531_Ins1RGB_15m_transparent_mosaic_group1_2.jpg,877,403,0.482352941176471,0.627450980392157,0.356862745098039,0.256038647342995,0.43125,0.627450980392157,61.8619596833102,-22.5224005221292,31.5860819156638
